year,month,day,hour_n,hour,holi,h_temp,h_bodytemp,h_humidity,h_pressure,h_visibility,h_wind_speed,h_gust_speed
2016,10,09,10.0,13,0,27.0,27.9,58,1010.0,10.0,21.6,39.6
2016,10,21,7.0,14,0,29.0,31.3,62,993.0,10.0,28.8,46.8
2016,07,11,7.0,12,0,35.0,38.5,44,1000.0,6.0,21.6,43.2
2016,07,30,11.0,15,1,29.0,36.8,89,1006.0,2.5,10.8,28.8
2016,07,27,4.0,19,0,33.0,36.9,52,1005.0,10.0,36.0,54.0
2016,08,07,20.0,18,1,32.0,40.4,70,1002.0,10.0,21.6,39.6
2016,08,10,4.0,17,0,32.0,43.9,79,1004.0,10.0,21.6,39.6
2016,08,17,9.0,12,0,35.0,44.6,59,1002.0,10.0,14.4,32.4
2016,08,28,1.0,10,1,29.0,28.6,40,1010.0,10.0,21.6,39.6
2015,11,24,1.0,14,0,27.0,27.9,58,1015.0,10.0,10.8,28.8
2016,05,03,5.0,11,0,29.0,35.6,84,1012.0,6.0,10.8,39.6
2016,05,06,14.0,17,0,28.0,30.2,66,1008.0,1.5,32.4,57.6
2016,05,15,8.0,17,1,29.0,31.3,62,1008.0,10.0,28.8,50.4
2016,06,03,27.0,18,0,29.0,34.5,79,1002.0,4.0,14.4,32.4
2016,06,15,7.0,13,0,33.0,40.6,63,1003.0,10.0,18.0,36.0
2016,07,01,3.0,10,0,29.0,33.5,74,1009.0,3.0,21.6,57.6
2016,07,30,2.0,15,1,37.0,42.9,44,1004.0,10.0,10.8,28.8
2016,07,30,1.0,16,1,28.0,31.9,79,1004.0,10.0,21.6,39.6
2016,08,02,4.0,11,0,27.0,30.1,84,990.0,10.0,28.8,46.8
2016,08,06,4.0,11,1,33.0,41.8,66,1006.0,5.0,7.2,25.2
2016,08,06,6.0,17,1,35.0,41.9,53,1001.0,10.0,10.8,28.8
2016,08,15,1.0,17,0,29.0,34.5,79,996.0,4.0,32.4,50.4
2016,08,28,10.0,13,1,31.0,33.7,55,1007.0,10.0,21.6,39.6
2016,08,28,5.0,14,1,30.0,32.4,58,1007.0,10.0,21.6,39.6
2016,09,14,2.0,15,0,33.0,35.2,46,1003.0,10.0,21.6,39.6
2016,09,15,1.0,10,2,32.0,34.9,52,1004.0,9.0,10.8,28.8
2016,09,15,15.0,12,2,34.0,36.5,44,1003.0,9.0,18.0,39.6
2016,09,15,3.0,17,2,28.0,32.7,84,1003.0,4.0,7.2,28.8
2016,09,16,5.0,13,2,33.0,36.0,49,1005.0,10.0,14.4,32.4
2016,09,26,2.0,15,0,35.0,40.3,49,1005.0,5.0,7.2,25.2
2016,10,09,18.0,13,0,27.0,27.9,58,1010.0,10.0,21.6,39.6
2016,10,21,9.0,11,0,28.0,30.2,66,997.0,10.0,43.2,64.8
2016,10,21,27.0,12,0,29.0,31.3,62,995.0,10.0,36.0,54.0
2016,10,21,4.0,14,0,29.0,31.3,62,993.0,10.0,28.8,46.8
2016,06,17,7.0,17,0,31.0,34.4,58,1005.0,10.0,10.8,28.8
2016,03,08,3.0,11,0,8.0,4.7,93,1015.0,6.0,21.6,39.6
2016,03,08,4.0,16,0,7.0,3.8,93,1015.0,7.0,18.0,36.0
2016,03,08,7.0,20,0,6.0,2.6,93,1020.0,10.0,18.0,36.0
2016,05,12,10.0,19,0,27.0,27.9,58,1010.0,10.0,25.2,43.2
2016,05,12,4.0,20,0,27.0,27.1,45,1012.0,10.0,36.0,57.6
2016,06,18,2.0,12,1,33.0,39.2,59,1005.0,10.0,18.0,39.6
2016,08,02,4.0,15,0,33.0,41.8,66,1002.0,10.0,14.4,32.4
2016,08,25,6.0,17,0,30.0,37.4,79,1002.0,3.0,28.8,50.4
2016,09,23,7.0,16,0,31.0,30.3,35,1011.0,7.0,7.2,25.2
2016,10,08,7.0,13,0,27.0,26.8,39,1017.0,10.0,21.6,39.6
2016,08,06,11.0,18,1,28.0,31.2,74,1003.0,10.0,18.0,36.0
2016,08,10,4.0,16,0,34.0,41.8,59,1004.0,10.0,18.0,36.0
2016,09,12,1.0,10,0,27.0,28.2,61,1016.0,6.0,10.8,28.8
2016,09,26,4.0,12,0,30.0,34.1,66,1011.0,10.0,14.4,32.4
2016,08,13,4.0,17,1,36.0,41.8,47,1002.0,10.0,7.2,36.0
2016,08,25,7.0,22,0,31.0,31.9,46,1008.0,10.0,28.8,46.8
2016,09,02,1.0,14,0,31.0,32.4,49,1007.0,10.0,3.6,21.6
2016,01,18,3.0,16,0,5.0,0.9,81,1025.0,1.6,21.6,39.6
2016,01,23,5.0,11,1,1.0,7.6,60,1041.0,10.0,28.8,46.8
2016,01,23,5.0,16,1,1.0,7.2,44,1038.0,10.0,25.2,46.8
2016,06,17,4.0,17,0,31.0,34.4,58,1005.0,10.0,10.8,28.8
2016,07,12,2.0,15,0,34.0,47.3,71,999.0,10.0,7.2,25.2
2016,07,27,8.0,19,0,33.0,36.9,52,1005.0,10.0,36.0,54.0
2016,08,07,11.0,18,1,32.0,40.4,70,1002.0,10.0,21.6,39.6
2016,08,10,3.0,17,0,32.0,43.9,79,1004.0,10.0,21.6,39.6
2016,08,17,6.0,12,0,35.0,44.6,59,1002.0,10.0,14.4,32.4
2016,08,28,5.0,10,1,29.0,28.6,40,1010.0,10.0,21.6,39.6
2015,08,01,1.0,16,1,31.0,33.0,52,1008.0,10.0,25.2,43.2
2015,11,25,1.0,12,0,8.0,4.7,87,1025.0,7.0,21.6,39.6
2015,11,25,3.0,15,0,7.0,3.4,87,1025.0,10.0,21.6,39.6
2015,11,25,1.0,22,0,6.0,2.6,81,1027.0,10.0,18.0,36.0
2015,11,26,2.0,11,0,7.0,2.8,46,1029.0,10.0,28.8,46.8
2015,11,26,4.0,12,0,7.0,2.2,39,1028.0,10.0,36.0,57.6
2015,11,26,1.0,13,0,7.0,2.2,39,1028.0,10.0,36.0,54.0
2015,11,26,1.0,15,0,7.0,2.2,39,1027.0,10.0,36.0,57.6
2016,01,23,2.0,11,1,1.0,7.2,93,1038.0,2.0,25.2,46.8
2016,01,23,3.0,14,1,0.0,7.3,44,1036.0,10.0,39.6,57.6
2016,01,23,3.0,16,1,1.0,8.3,44,1036.0,10.0,36.0,57.6
2016,01,24,1.0,10,1,4.0,13.0,36,1042.0,10.0,43.2,64.8
2016,01,24,1.0,11,1,4.0,13.3,36,1041.0,10.0,46.8,64.8
2016,01,24,6.0,14,1,4.0,13.3,43,1039.0,10.0,46.8,72.0
2016,01,24,1.0,15,1,4.0,12.7,36,1039.0,10.0,39.6,57.6
2016,01,24,3.0,16,1,4.0,13.3,40,1039.0,10.0,46.8,68.4
2016,01,24,6.0,17,1,4.0,12.3,40,1040.0,10.0,36.0,61.2
2016,02,06,3.0,15,0,7.0,2.8,43,1029.0,6.0,28.8,46.8
2016,02,06,2.0,16,0,7.0,3.1,37,1029.0,6.0,25.2,43.2
2016,02,14,1.0,22,0,4.0,0.1,52,1030.0,10.0,18.0,39.6
2016,02,23,1.0,13,0,6.0,3.1,93,1031.0,4.0,14.4,32.4
2016,03,08,7.0,20,0,8.0,4.4,93,1016.0,9.0,25.2,43.2
2016,03,09,3.0,18,0,6.0,2.6,66,1025.0,10.0,18.0,36.0
2016,03,09,4.0,22,0,6.0,3.1,66,1028.0,10.0,14.4,32.4
2016,06,21,1.0,14,0,38.0,45.3,44,1004.0,10.0,18.0,36.0
2016,06,24,5.0,16,0,30.0,35.0,70,1003.0,10.0,21.6,39.6
2016,07,14,4.0,16,0,29.0,36.8,89,1003.0,10.0,14.4,32.4
2016,07,17,3.0,12,1,32.0,40.4,70,1007.0,9.0,10.8,32.4
2016,07,22,3.0,16,0,29.0,36.8,89,1006.0,4.0,28.8,46.8
2016,07,27,15.0,17,0,34.0,36.5,44,1004.0,10.0,28.8,50.4
2016,08,09,1.0,11,0,29.0,36.8,89,1003.0,10.0,18.0,39.6
2016,08,17,1.0,14,0,35.0,39.5,47,1001.0,10.0,10.8,32.4
2016,08,26,15.0,22,0,28.0,33.6,89,1008.0,10.0,14.4,32.4
2016,08,28,8.0,11,1,29.0,28.8,42,1008.0,10.0,25.2,43.2
2016,08,28,4.0,15,1,31.0,29.8,31,1006.0,10.0,25.2,46.8
2016,09,18,9.0,15,0,27.0,28.2,61,1007.0,10.0,25.2,43.2
2016,09,19,5.0,12,0,27.0,28.5,65,1010.0,10.0,21.6,39.6
2015,11,24,7.0,14,0,27.0,27.9,58,1015.0,10.0,10.8,28.8
2016,05,03,6.0,11,0,29.0,35.6,84,1012.0,6.0,10.8,39.6
2016,05,06,12.0,17,0,28.0,30.2,66,1008.0,1.5,32.4,57.6
2016,05,15,9.0,17,1,29.0,31.3,62,1008.0,10.0,28.8,50.4
2016,05,30,6.0,13,0,33.0,41.8,66,1007.0,6.0,7.2,25.2
2016,06,03,11.0,18,0,29.0,34.5,79,1002.0,4.0,14.4,32.4
2016,06,15,4.0,13,0,33.0,40.6,63,1003.0,10.0,18.0,36.0
2016,07,30,7.0,15,1,37.0,42.9,44,1004.0,10.0,10.8,28.8
2016,07,30,14.0,16,1,28.0,31.9,79,1004.0,10.0,21.6,39.6
2016,08,01,11.0,13,0,37.0,42.9,44,1000.0,10.0,21.6,43.2
2016,08,02,2.0,11,0,27.0,30.1,84,990.0,10.0,28.8,46.8
2016,08,06,6.0,11,1,33.0,41.8,66,1006.0,5.0,7.2,25.2
2016,08,06,15.0,17,1,35.0,41.9,53,1001.0,10.0,10.8,28.8
2016,08,15,8.0,17,0,29.0,34.5,79,996.0,4.0,32.4,50.4
2016,08,28,13.0,13,1,31.0,33.7,55,1007.0,10.0,21.6,39.6
2016,08,28,12.0,14,1,30.0,32.4,58,1007.0,10.0,21.6,39.6
2016,09,14,11.0,15,0,33.0,35.2,46,1003.0,10.0,21.6,39.6
2016,09,15,5.0,10,2,32.0,34.9,52,1004.0,9.0,10.8,28.8
2016,09,15,6.0,12,2,34.0,36.5,44,1003.0,9.0,18.0,39.6
2016,09,15,7.0,17,2,28.0,32.7,84,1003.0,4.0,7.2,28.8
2016,09,16,7.0,13,2,33.0,36.0,49,1005.0,10.0,14.4,32.4
2016,09,17,4.0,12,2,32.0,34.1,49,1007.0,10.0,18.0,36.0
2016,09,26,10.0,15,0,35.0,40.3,49,1005.0,5.0,7.2,25.2
2016,10,02,6.0,15,2,32.0,35.6,55,1007.0,10.0,14.4,32.4
2016,10,09,16.0,13,0,27.0,27.9,58,1010.0,10.0,21.6,39.6
2016,10,21,5.0,11,0,28.0,30.2,66,997.0,10.0,43.2,64.8
2016,10,21,8.0,12,0,29.0,31.3,62,995.0,10.0,36.0,54.0
2016,10,21,8.0,14,0,29.0,31.3,62,993.0,10.0,28.8,46.8
2016,07,05,3.0,16,0,28.0,33.6,89,1009.0,3.5,21.6,39.6
2016,07,07,3.0,20,0,29.0,34.5,79,1008.0,10.0,21.6,39.6
2016,07,08,5.0,18,0,30.0,35.0,70,1004.0,10.0,21.6,43.2
2016,07,09,2.0,13,1,29.0,33.5,74,1004.0,10.0,18.0,36.0
2016,07,09,4.0,17,1,29.0,33.5,74,1003.0,10.0,18.0,43.2
2016,07,09,5.0,19,1,28.0,31.9,79,1003.0,10.0,18.0,39.6
2016,07,23,9.0,17,1,39.0,43.3,35,1004.0,10.0,10.8,28.8
2016,08,03,4.0,14,0,28.0,31.9,79,1007.0,10.0,18.0,36.0
2016,08,05,11.0,18,0,31.0,37.6,70,1005.0,10.0,14.4,39.6
2016,08,09,2.0,19,0,29.0,35.6,84,1004.0,10.0,18.0,36.0
2016,08,20,2.0,14,1,32.0,40.4,70,1002.0,10.0,18.0,36.0
2016,08,22,12.0,11,0,34.0,39.1,52,1007.0,10.0,14.4,39.6
2016,08,22,20.0,12,0,35.0,40.3,49,1006.0,10.0,14.4,39.6
2016,08,22,2.0,15,0,35.0,41.9,53,1005.0,10.0,18.0,39.6
2016,08,22,11.0,17,0,34.0,39.1,52,1006.0,10.0,18.0,39.6
2016,08,24,21.0,12,0,34.0,37.1,46,1004.0,10.0,7.2,32.4
2016,08,29,35.0,11,0,30.0,29.7,40,1009.0,10.0,21.6,39.6
2016,09,12,37.0,18,0,27.0,28.5,65,1015.0,10.0,14.4,39.6
2016,09,13,24.0,13,0,29.0,30.3,55,1016.0,10.0,18.0,36.0
2016,09,18,22.0,11,0,27.0,28.5,65,1010.0,10.0,25.2,43.2
2016,09,18,13.0,13,0,28.0,29.2,58,1009.0,10.0,32.4,50.4
2016,09,27,30.0,11,0,31.0,35.4,62,1011.0,10.0,18.0,39.6
2016,09,27,23.0,13,0,30.0,34.1,66,1010.0,10.0,18.0,36.0
2016,09,27,3.0,14,0,31.0,35.4,62,1009.0,10.0,18.0,39.6
2016,05,30,5.0,16,0,34.0,33.6,32,1000.0,8.0,10.8,28.8
2016,07,11,15.0,12,0,35.0,38.5,44,1000.0,6.0,21.6,43.2
2016,07,30,1.0,15,1,29.0,36.8,89,1006.0,2.5,10.8,28.8
2016,08,06,1.0,23,1,27.0,28.9,70,1005.0,10.0,18.0,36.0
2016,08,06,7.0,18,1,28.0,31.2,74,1003.0,10.0,18.0,36.0
2016,08,10,1.0,16,0,34.0,41.8,59,1004.0,10.0,18.0,36.0
2016,09,12,3.0,10,0,27.0,28.2,61,1016.0,6.0,10.8,28.8
2016,09,26,17.0,12,0,30.0,34.1,66,1011.0,10.0,14.4,32.4
2016,06,22,3.0,13,0,33.0,40.6,63,1004.0,10.0,18.0,36.0
2016,06,24,1.0,16,0,30.0,35.0,70,1003.0,10.0,21.6,39.6
2016,07,14,3.0,16,0,29.0,36.8,89,1003.0,10.0,14.4,32.4
2016,07,17,6.0,12,1,32.0,40.4,70,1007.0,9.0,10.8,32.4
2016,07,22,2.0,16,0,29.0,36.8,89,1006.0,4.0,28.8,46.8
2016,07,27,9.0,17,0,34.0,36.5,44,1004.0,10.0,28.8,50.4
2016,08,09,3.0,11,0,29.0,36.8,89,1003.0,10.0,18.0,39.6
2016,08,26,5.0,22,0,28.0,33.6,89,1008.0,10.0,14.4,32.4
2016,08,28,4.0,9,1,27.0,27.5,51,1009.0,10.0,21.6,39.6
2016,08,28,7.0,10,1,28.0,28.3,48,1008.0,10.0,25.2,43.2
2016,08,28,6.0,11,1,29.0,28.8,42,1008.0,10.0,25.2,43.2
2016,08,28,8.0,15,1,31.0,29.8,31,1006.0,10.0,25.2,46.8
2016,09,18,7.0,15,0,27.0,28.2,61,1007.0,10.0,25.2,43.2
2016,06,22,2.0,13,0,33.0,40.6,63,1004.0,10.0,18.0,36.0
2016,07,14,2.0,16,0,29.0,36.8,89,1003.0,10.0,14.4,32.4
2016,07,17,1.0,12,1,32.0,40.4,70,1007.0,9.0,10.8,32.4
2016,07,27,3.0,17,0,34.0,36.5,44,1004.0,10.0,28.8,50.4
2016,08,09,4.0,11,0,29.0,36.8,89,1003.0,10.0,18.0,39.6
2016,08,17,3.0,14,0,35.0,39.5,47,1001.0,10.0,10.8,32.4
2016,08,28,3.0,9,1,27.0,27.5,51,1009.0,10.0,21.6,39.6
2016,08,28,1.0,10,1,28.0,28.3,48,1008.0,10.0,25.2,43.2
2016,08,28,3.0,11,1,29.0,28.8,42,1008.0,10.0,25.2,43.2
2016,08,28,5.0,15,1,31.0,29.8,31,1006.0,10.0,25.2,46.8
2016,09,19,2.0,12,0,27.0,28.5,65,1010.0,10.0,21.6,39.6
2016,01,23,8.0,10,1,10.0,20.3,35,1042.0,5.0,36.0,54.0
2016,06,22,11.0,18,0,31.0,30.6,38,1000.0,1.5,61.2,90.0
2016,08,12,21.0,19,0,28.0,32.7,84,1004.0,6.0,14.4,32.4
2016,01,23,3.0,8,1,8.0,3.6,62,1028.0,10.0,36.0,57.6
2016,01,23,5.0,9,1,8.0,3.6,62,1030.0,10.0,36.0,54.0
2016,01,23,8.0,10,1,7.0,2.5,66,1031.0,10.0,32.4,50.4
2016,01,23,16.0,13,1,7.0,2.5,71,1030.0,10.0,32.4,50.4
2016,01,24,24.0,13,1,4.0,0.8,56,1037.0,10.0,25.2,43.2
2016,05,26,7.0,9,0,30.0,35.0,70,1008.0,10.0,10.8,28.8
2016,05,27,13.0,15,0,29.0,34.5,79,1004.0,10.0,36.0,54.0
2016,07,30,73.0,17,1,29.0,34.5,79,1005.0,10.0,28.8,54.0
2016,08,02,34.0,16,0,27.0,31.2,94,999.0,0.9,36.0,64.8
2016,08,26,52.58496,18,0,30.0,36.0,74,1004.0,10.0,39.6,57.6
2016,09,02,17.0,13,0,27.0,31.2,94,1002.0,1.0,25.2,54.0
2016,10,03,30.0,11,2,31.0,36.4,66,1009.0,10.0,10.8,28.8
2016,10,05,29.0,14,2,32.0,36.8,59,1007.0,8.0,14.4,32.4
2016,10,06,18.0,10,2,29.0,32.7,70,1011.0,10.0,18.0,43.2
2016,10,06,13.0,13,2,32.0,37.7,62,1009.0,10.0,10.8,28.8
2016,10,21,27.0,10,0,27.0,29.6,79,995.0,10.0,36.0,57.6
2016,10,21,39.0,12,0,28.0,31.2,74,992.0,10.0,57.6,75.6
2016,10,21,23.0,13,0,28.0,31.2,74,991.0,2.8,54.0,72.0
2016,10,21,19.0,14,0,27.0,29.6,79,992.0,3.0,50.4,68.4
2016,06,21,2.0,14,0,38.0,45.3,44,1004.0,10.0,18.0,36.0
2016,06,22,5.0,13,0,33.0,40.6,63,1004.0,10.0,18.0,36.0
2016,06,24,10.0,16,0,30.0,35.0,70,1003.0,10.0,21.6,39.6
2016,07,17,19.0,12,1,32.0,40.4,70,1007.0,9.0,10.8,32.4
2016,07,22,4.0,16,0,29.0,36.8,89,1006.0,4.0,28.8,46.8
2016,07,27,13.0,17,0,34.0,36.5,44,1004.0,10.0,28.8,50.4
2016,08,09,18.0,11,0,29.0,36.8,89,1003.0,10.0,18.0,39.6
2016,08,17,2.0,14,0,35.0,39.5,47,1001.0,10.0,10.8,32.4
2016,08,28,11.0,9,1,27.0,27.5,51,1009.0,10.0,21.6,39.6
2016,08,28,8.0,10,1,28.0,28.3,48,1008.0,10.0,25.2,43.2
2016,08,28,12.0,11,1,29.0,28.8,42,1008.0,10.0,25.2,43.2
2016,09,18,2.0,15,0,27.0,28.2,61,1007.0,10.0,25.2,43.2
2016,09,19,12.0,12,0,27.0,28.5,65,1010.0,10.0,21.6,39.6
2016,07,27,7.0,19,0,33.0,36.9,52,1005.0,10.0,36.0,54.0
2016,08,07,14.0,18,1,32.0,40.4,70,1002.0,10.0,21.6,39.6
2016,08,10,12.0,17,0,32.0,43.9,79,1004.0,10.0,21.6,39.6
2016,08,28,7.0,10,1,29.0,28.6,40,1010.0,10.0,21.6,39.6
2015,12,02,2.0,17,0,3.0,0.6,45,1022.0,10.0,14.4,32.4
2016,01,23,2.0,10,1,10.0,20.3,35,1042.0,5.0,36.0,54.0
2016,06,22,2.0,18,0,31.0,30.6,38,1000.0,1.5,61.2,90.0
2016,08,12,2.0,19,0,28.0,32.7,84,1004.0,6.0,14.4,32.4
2016,07,05,6.0,16,0,28.0,33.6,89,1009.0,3.5,21.6,39.6
2016,07,07,9.0,20,0,29.0,34.5,79,1008.0,10.0,21.6,39.6
2016,07,08,10.0,18,0,30.0,35.0,70,1004.0,10.0,21.6,43.2
2016,07,09,3.0,13,1,29.0,33.5,74,1004.0,10.0,18.0,36.0
2016,07,09,1.0,14,1,28.0,31.9,79,1004.0,10.0,18.0,36.0
2016,07,09,7.0,17,1,29.0,33.5,74,1003.0,10.0,18.0,43.2
2016,07,09,8.0,19,1,28.0,31.9,79,1003.0,10.0,18.0,39.6
2016,07,10,11.0,17,1,28.0,33.6,89,1000.0,8.0,10.8,28.8
2016,07,23,12.0,17,1,39.0,43.3,35,1004.0,10.0,10.8,28.8
2016,08,03,2.0,14,0,28.0,31.9,79,1007.0,10.0,18.0,36.0
2016,08,05,9.0,18,0,31.0,37.6,70,1005.0,10.0,14.4,39.6
2016,08,09,3.0,14,0,33.0,40.6,63,1004.0,10.0,25.2,43.2
2016,08,09,10.0,19,0,29.0,35.6,84,1004.0,10.0,18.0,36.0
2016,08,20,4.0,14,1,32.0,40.4,70,1002.0,10.0,18.0,36.0
2016,08,22,6.0,11,0,34.0,39.1,52,1007.0,10.0,14.4,39.6
2016,08,22,4.0,12,0,35.0,40.3,49,1006.0,10.0,14.4,39.6
2016,08,22,3.0,15,0,35.0,41.9,53,1005.0,10.0,18.0,39.6
2016,08,22,5.0,17,0,34.0,39.1,52,1006.0,10.0,18.0,39.6
2016,08,24,5.0,12,0,34.0,37.1,46,1004.0,10.0,7.2,32.4
2016,08,29,2.0,11,0,30.0,29.7,40,1009.0,10.0,21.6,39.6
2016,09,12,13.0,18,0,27.0,28.5,65,1015.0,10.0,14.4,39.6
2016,09,13,4.0,13,0,29.0,30.3,55,1016.0,10.0,18.0,36.0
2016,09,18,8.584963,11,0,27.0,28.5,65,1010.0,10.0,25.2,43.2
2016,09,18,3.0,13,0,28.0,29.2,58,1009.0,10.0,32.4,50.4
2016,09,27,12.0,11,0,31.0,35.4,62,1011.0,10.0,18.0,39.6
2016,09,27,6.0,13,0,30.0,34.1,66,1010.0,10.0,18.0,36.0
2016,09,27,7.0,14,0,31.0,35.4,62,1009.0,10.0,18.0,39.6
2015,11,25,2.0,9,0,8.0,4.4,87,1026.0,10.0,25.2,43.2
2015,11,26,1.0,12,0,4.0,1.4,52,1029.0,10.0,32.4,50.4
2016,01,11,1.0,10,0,8.0,4.7,87,1025.0,5.0,21.6,39.6
2016,01,11,3.0,12,0,8.0,5.1,81,1024.0,6.0,18.0,36.0
2016,01,23,1.0,7,1,0.0,6.7,80,1037.0,10.0,32.4,50.4
2016,01,24,8.0,8,1,7.0,15.4,49,1040.0,10.0,28.8,46.8
2016,01,30,5.0,12,1,6.0,2.6,70,1029.0,10.0,18.0,36.0
2016,01,31,1.0,11,1,5.0,1.3,65,1031.0,10.0,18.0,36.0
2016,02,13,2.0,22,2,8.0,4.1,81,1019.0,10.0,28.8,46.8
2016,02,13,1.0,23,2,8.0,4.1,81,1020.0,10.0,28.8,54.0
2016,02,14,1.0,2,0,4.0,1.4,81,1021.0,10.0,32.4,54.0
2016,03,08,1.0,17,0,7.0,2.2,93,1014.0,6.0,36.0,57.6
2016,03,08,3.0,18,0,7.0,2.5,87,1015.0,10.0,32.4,50.4
2016,03,08,7.0,21,0,6.0,1.2,93,1017.0,10.0,32.4,50.4
2016,03,08,2.0,22,0,6.0,1.2,93,1019.0,8.0,32.4,50.4
2016,03,09,3.0,0,0,6.0,1.5,87,1020.0,10.0,28.8,46.8
2016,07,08,11.0,21,0,28.0,31.9,79,1006.0,10.0,18.0,39.6
2016,07,08,5.0,23,0,28.0,31.9,79,1005.0,10.0,18.0,36.0
2016,07,09,10.0,0,1,28.0,31.9,79,1005.0,10.0,18.0,36.0
2016,07,09,13.0,13,1,29.0,33.5,74,1004.0,10.0,18.0,36.0
2016,07,09,9.0,14,1,28.0,31.9,79,1004.0,10.0,18.0,36.0
2016,07,09,11.0,17,1,29.0,33.5,74,1003.0,10.0,18.0,43.2
2016,07,09,3.0,19,1,28.0,31.9,79,1003.0,10.0,18.0,39.6
2016,07,09,6.0,23,1,27.0,30.1,84,1003.0,10.0,10.8,28.8
2016,07,10,2.0,0,1,27.0,30.6,89,1003.0,10.0,10.8,28.8
2016,07,10,5.0,17,1,28.0,33.6,89,1000.0,8.0,10.8,28.8
2016,07,23,13.0,17,1,39.0,43.3,35,1004.0,10.0,10.8,28.8
2016,08,03,7.0,14,0,28.0,31.9,79,1007.0,10.0,18.0,36.0
2016,08,05,3.0,18,0,31.0,37.6,70,1005.0,10.0,14.4,39.6
2016,08,09,9.0,14,0,33.0,40.6,63,1004.0,10.0,25.2,43.2
2016,08,20,14.0,14,1,32.0,40.4,70,1002.0,10.0,18.0,36.0
2016,08,22,10.0,11,0,34.0,39.1,52,1007.0,10.0,14.4,39.6
